Pregunta,Respuesta,Categoría,Fuente
¿Qué contiene el Anexo del Convenio de Modalidades Formativas Laborales?,"Incluye un plan específico de aprendizaje, datos de la empresa, del beneficiario y del Centro de Formación Profesional, además de los objetivos, actividades, competencias y evaluación.",Generalidades,Anexo Convenio Modalidades Formativas Laborales
¿Qué datos generales se registran sobre el beneficiario?,"Nombres y apellidos, monto de subvención, tipo de seguro, jornada formativa y puesto de trabajo.",Beneficiario,Anexo Convenio Modalidades Formativas Laborales
¿Qué tipo de jornada se especifica en el plan?,La jornada formativa incluye el horario en que el beneficiario desarrollará sus actividades.,Jornada formativa,Anexo Convenio Modalidades Formativas Laborales
¿Qué información se debe incluir en el objetivo del plan?,"Los objetivos que el beneficiario debe lograr, alineados con la Ley N.º 28518.",Objetivos,Anexo Convenio Modalidades Formativas Laborales
¿Qué actividades formativas se desarrollan en la empresa?,"Incluyen funciones principales del puesto, tareas específicas y competencias a desarrollar.",Actividades,Anexo Convenio Modalidades Formativas Laborales
¿Qué son las competencias específicas?,Son habilidades técnicas directamente relacionadas al puesto que el beneficiario desarrollará.,Competencias específicas,Anexo Convenio Modalidades Formativas Laborales
¿Qué son las competencias genéricas o transversales?,"Son comportamientos y actitudes como trabajo en equipo, comunicación, responsabilidad, etc.",Competencias genéricas,Anexo Convenio Modalidades Formativas Laborales
¿Qué información contiene la sección de duración?,Incluye la fecha de inicio y término del plan formativo.,Duración,Anexo Convenio Modalidades Formativas Laborales
¿Qué se detalla en el contexto formativo?,"Infraestructura, maquinaria, herramientas, insumos, equipo personal y condiciones de seguridad.",Contexto formativo,Anexo Convenio Modalidades Formativas Laborales
¿Qué es el mapa de recorrido en la empresa?,Una relación de áreas o departamentos donde rotará el beneficiario durante su formación.,Recorrido,Anexo Convenio Modalidades Formativas Laborales
¿Cómo se monitorea y evalúa al beneficiario?,"Mediante evaluación personal, observación de actividades, aportes a la empresa y otros criterios.",Evaluación,Anexo Convenio Modalidades Formativas Laborales
¿Qué criterios se utilizan en la evaluación de actividades formativas?,"Calidad, pertinencia y resultados de la actividad formativa.",Evaluación,Anexo Convenio Modalidades Formativas Laborales
¿Qué roles se identifican en el plan?,"El beneficiario, la empresa, y el responsable del Centro de Formación Profesional.",Participantes,Anexo Convenio Modalidades Formativas Laborales
¿Qué compromisos asumen los firmantes del anexo?,Cumplir con la ejecución del plan formativo y los compromisos establecidos.,Compromisos,Anexo Convenio Modalidades Formativas Laborales
¿Qué debe incluirse en las condiciones pactadas?,"Monto de subvención, tipo de seguro, jornada y ocupación a desarrollar.",Condiciones,Anexo Convenio Modalidades Formativas Laborales
¿Cuál es la función principal de las actividades formativas?,Contribuir al desarrollo de habilidades prácticas vinculadas al puesto de trabajo.,Finalidad,Anexo Convenio Modalidades Formativas Laborales
¿Quién es responsable de la formación dentro de la empresa?,Una persona designada específicamente para orientar al beneficiario.,Formador,Anexo Convenio Modalidades Formativas Laborales
¿Qué tipo de indicadores se deben definir en las competencias?,Indicadores de logro que midan el desempeño esperado del beneficiario.,Indicadores,Anexo Convenio Modalidades Formativas Laborales
¿Es obligatorio que el beneficiario participe en la evaluación?,"Sí, debe realizar una autoevaluación en relación con sus competencias desarrolladas.",Evaluación personal,Anexo Convenio Modalidades Formativas Laborales
¿Qué recursos deben estar disponibles para la formación?,"Equipos, herramientas, insumos y condiciones adecuadas de seguridad.",Recursos,Anexo Convenio Modalidades Formativas Laborales
