Pregunta,Respuesta,Categoría,Fuente
¿Cuál es el objetivo del Convenio de Prácticas Profesionales en el sector privado?,"Formalizar el desarrollo de prácticas profesionales entre la empresa y el egresado, conforme a la Ley N.º 28518.",Objetivo,Convenio de Prácticas Profesionales - Sector Privado
¿Qué documentos forman parte del convenio?,"El convenio firmado, el plan formativo y la comunicación de presentación del Centro de Formación Profesional.",Documentación,Convenio de Prácticas Profesionales - Sector Privado
¿Cuál es la duración máxima de las prácticas profesionales?,El convenio puede establecer duración en meses y se indica explícitamente en las condiciones generales.,Duración,Convenio de Prácticas Profesionales - Sector Privado
¿Qué subvención económica se establece para el practicante?,"Una mensualidad no menor a la Remuneración Mínima Vital, sin carácter remunerativo ni sujeta a impuestos.",Subvención,Convenio de Prácticas Profesionales - Sector Privado
¿Qué seguros debe ofrecer la empresa al practicante?,"Cobertura por enfermedad (14 RMV) y accidentes (30 RMV), mediante ESSALUD o seguro privado.",Seguros,Convenio de Prácticas Profesionales - Sector Privado
¿El convenio genera vínculo laboral?,"No, el convenio no tiene carácter laboral y solo genera derechos y obligaciones formativas.",Naturaleza del convenio,Convenio de Prácticas Profesionales - Sector Privado
¿Qué obligaciones tiene la empresa según el convenio?,"Brindar formación, emitir informes, pagar la subvención, garantizar seguridad y otorgar certificación.",Obligaciones de la empresa,Convenio de Prácticas Profesionales - Sector Privado
¿Qué obligaciones tiene el egresado?,"Firmar el convenio, cumplir las normas, realizar prácticas con responsabilidad y respetar el plan formativo.",Obligaciones del practicante,Convenio de Prácticas Profesionales - Sector Privado
¿Cuándo se otorgan descansos subvencionados?,"Cuando la duración supera los 12 meses, se otorgan 15 días de descanso pagado.",Descanso,Convenio de Prácticas Profesionales - Sector Privado
¿Qué implica el cumplimiento de protocolos COVID-19?,"La empresa debe implementar el Plan de Vigilancia, proveer equipos y garantizar condiciones seguras.",Bioseguridad,Convenio de Prácticas Profesionales - Sector Privado
¿Puede el practicante recibir una subvención adicional?,"Sí, media subvención económica adicional cada seis meses de prácticas continuas.",Beneficios,Convenio de Prácticas Profesionales - Sector Privado
¿Qué sucede si el practicante renuncia?,Debe notificar con 10 días hábiles de anticipación; esto constituye una causal de terminación del convenio.,Renuncia,Convenio de Prácticas Profesionales - Sector Privado
¿Qué sanciones pueden aplicarse al practicante?,Puede suspenderse el convenio por sanción disciplinaria o finalizarse por incumplimiento.,Sanciones,Convenio de Prácticas Profesionales - Sector Privado
¿Qué medidas deben tomarse frente al hostigamiento sexual?,Implementar procedimientos de prevención y sanción conforme a la Ley Nº 27942.,Hostigamiento,Convenio de Prácticas Profesionales - Sector Privado
¿Qué información se considera confidencial?,Toda información y documentación obtenida durante la práctica debe mantenerse en reserva.,Confidencialidad,Convenio de Prácticas Profesionales - Sector Privado
¿Qué rol cumple el Centro de Formación Profesional?,Presenta al egresado para prácticas y solicita informes a la empresa.,Centro de formación,Convenio de Prácticas Profesionales - Sector Privado
¿Qué condiciones pueden modificar el convenio?,"El acuerdo entre las partes, mediante adenda o documento similar.",Modificación,Convenio de Prácticas Profesionales - Sector Privado
¿Cuáles son causales de suspensión del convenio?,"Enfermedad, accidente, descanso físico, permiso, sanción disciplinaria o caso fortuito.",Suspensión,Convenio de Prácticas Profesionales - Sector Privado
¿Cuáles son causales de terminación del convenio?,"Plazo cumplido, disenso, fallecimiento, invalidez, incumplimiento, o divulgación de información.",Terminación,Convenio de Prácticas Profesionales - Sector Privado
¿Cómo debe firmarse el convenio?,"En dos ejemplares, uno para la empresa y otro para el practicante, antes del inicio de las prácticas.",Formalización,Convenio de Prácticas Profesionales - Sector Privado
