Pregunta,Respuesta,Categoría,Fuente
¿Qué requisitos debo cumplir para solicitar la reserva de matrícula?,"Para solicitar la reserva de matrícula en UPAO, puedes hacerlo de manera ordinaria dentro de los primeros 30 días de clases o de manera extraordinaria por motivos de salud debidamente acreditados. En ambos casos, debes estar al día en tus pagos y presentar la solicitud por la Plataforma de Atención al Usuario, incluyendo los requisitos normativos y recibos de pago correspondientes. Si estás en la Filial Piura, el trámite se canaliza a través de la Oficina de Gestión Académica.",Reserva de matrícula,Directiva Académica - Numeral 5.8
¿Puedo anular mi matrícula en una asignatura después de la fecha límite?,"Sí, de forma excepcional, puedes solicitar el retiro de una o más asignaturas después de la fecha límite, siempre que presentes razones justificadas y documentadas. Esta solicitud debe hacerse antes del primer parcial y no aplica si tienes rendimiento desaprobatorio hasta la fecha de la solicitud. La decisión la toma el director de escuela y, de ser aprobada, se anula automáticamente el registro de matrícula.",Retiro de asignaturas,Directiva Académica - Numeral 5.9
¿Qué condiciones debo cumplir para dar un examen sustitutorio?,"Tienes derecho a rendir un examen sustitutorio si has desaprobado una asignatura o deseas mejorar tu promedio promocional, siempre que tu nota promocional sea 7 o más. Este examen reemplaza la nota del examen parcial o final que más te favorezca y no puede ser anulado una vez rendido. Debes realizar los pagos correspondientes y el examen abarcará todo el contenido de la asignatura.",Evaluación,Directiva Académica - Numeral 5.18
¿En qué consiste la convalidación de asignaturas en UPAO?,La convalidación es un proceso mediante el cual UPAO reconoce asignaturas aprobadas en otra universidad o por traslado interno. Procede si la asignatura tiene igual número de créditos y al menos el 80% del contenido equivalente. El trámite incluye una evaluación por la escuela profesional y resolución del decano. En Medicina Humana se deben cursar mínimo 8 semestres en UPAO.,Convalidaciones,Directiva Académica - Numeral 5.5
¿Qué pasa si desapruebo una asignatura por tercera vez?,"Si desapruebas tres veces una misma asignatura, eres separado automáticamente de forma definitiva de la universidad. No se permite continuar con la carrera profesional ni el ingreso mediante examen de admisión para esa carrera.",Separación definitiva,Directiva Académica - Numeral 5.10
¿Qué requisitos debo cumplir para solicitar un traslado externo?,"Para solicitar un traslado externo a UPAO, necesitas presentar varios documentos como el certificado de estudios legalizado, constancia de promedio ponderado, de matrícula, de ingreso, copia del DNI y comprobante de pago. Si el traslado es internacional, debes incluir documentación visada por la universidad de origen y la embajada respectiva.",Traslados,Directiva Académica - Numeral 5.4
¿Puedo registrarme en una asignatura adicional si ya cumplí mi carga académica?,"Sí, si tu promedio ponderado semestral es igual o mayor a 14, con carga completa y sin adeudar cursos anteriores, puedes solicitar una asignatura adicional. Esta solicitud se hace vía campus virtual y debe ser aprobada por el director de escuela. El crédito adicional genera un pago adicional en tu estado de cuenta.",Matrícula,Directiva Académica - Numeral 5.7
¿Qué es el programa de complementación y nivelación académica?,"Es un programa que permite a los estudiantes reforzar conocimientos mediante asignaturas adicionales, con una matrícula máxima de 12 créditos. Estas asignaturas deben tener un mínimo de 20 inscritos y el costo se determina por créditos. Si no se completa el mínimo, los estudiantes pueden asumir el costo restante entre ellos con un compromiso de pago firmado.",Programas académicos,Directiva Académica - Numeral 5.15
¿Qué ocurre si no asisto a una evaluación parcial o final?,"Si no asistes a una evaluación, puedes solicitar una evaluación de rezagados hasta 2 días hábiles después (parcial) o un día hábil después (final), justificando tu inasistencia. El director de escuela evaluará tu solicitud y, si es aceptada, el docente fijará la nueva fecha de examen en un máximo de 5 días hábiles (parcial) o 2 días (final).",Evaluación,Directiva Académica - Numeral 5.17
¿Qué pasos debo seguir para reanudar mis estudios si dejé la universidad?,"Puedes reanudar tus estudios si tu inactividad fue menor a 3 años, haciendo el trámite en la Plataforma de Atención al Usuario. Si ha pasado más tiempo, se evalúa tu caso de forma excepcional. No se convalidan cursos llevados en otras universidades durante tu ausencia. El decano resolverá la solicitud e informará a la Oficina de Evaluación Académica.",Reanudación de estudios,Directiva Académica - Numeral 5.6
¿Qué debo hacer si deseo realizar un traslado interno a otra carrera en UPAO?,"Para realizar un traslado interno debes haber cursado y aprobado como mínimo 36 créditos en tu carrera actual, estar en situación académica y administrativa regular, y presentar tu solicitud formal en la Plataforma de Atención al Usuario. El decano resolverá la solicitud previa evaluación de la nueva escuela profesional.",Traslados,Directiva Académica - Numeral 5.3
¿Cuántas veces puedo repetir una asignatura en UPAO?,Solo puedes desaprobar una asignatura hasta en dos oportunidades. En la tercera desaprobación se produce la separación definitiva de la universidad. Se recomienda acudir a tutorías y reforzamiento académico si se tiene dificultad en alguna materia.,Evaluación,Directiva Académica - Numeral 5.10
¿Qué requisitos existen para acceder a la matrícula condicional?,"La matrícula condicional es otorgada a estudiantes que, por disposición académica, están en condición de ser separados. Pueden solicitarla excepcionalmente y es evaluada por el decano. Esta matrícula permite continuar por un ciclo más bajo ciertas condiciones académicas.",Matrícula,Directiva Académica - Numeral 5.2
¿Puedo llevar cursos adelantados de ciclos superiores?,"Sí, puedes adelantar cursos si tienes promedio ponderado igual o superior a 14, cumples con los prerrequisitos, y no tienes cursos pendientes de ciclos anteriores. La solicitud debe hacerse por el campus virtual y es evaluada por el director de escuela.",Matrícula,Directiva Académica - Numeral 5.7
¿Qué procedimiento debo seguir para el retiro total del semestre?,"Puedes solicitar el retiro total antes de la evaluación final, por motivos académicos o personales debidamente sustentados. Esta solicitud se presenta por la plataforma virtual o presencialmente, y requiere estar al día en tus obligaciones académicas y financieras.",Retiro de ciclo,Directiva Académica - Numeral 5.9
¿Se puede modificar la matrícula después de haber sido registrada?,"Sí, puedes realizar modificaciones en tu matrícula durante el periodo de matrícula extraordinaria. Estas incluyen retiros o adición de asignaturas. Después de este plazo, solo se permite el retiro excepcional con justificación.",Matrícula,Directiva Académica - Numeral 5.2
¿Cómo se evalúa el aprendizaje durante el semestre?,"El aprendizaje se evalúa a través de evaluaciones continuas, parciales y finales. Las ponderaciones varían según el sílabo de cada asignatura. Debes cumplir con los trabajos, exposiciones, prácticas y exámenes programados. La nota mínima aprobatoria es 11.",Evaluación,Directiva Académica - Numeral 5.16
¿Qué sucede si no cumplo con la asistencia mínima?,"Si no cumples con la asistencia mínima del 70% en una asignatura, quedarás desaprobado automáticamente, independientemente de tus calificaciones. Es importante asistir regularmente a clases y justificar ausencias prolongadas.",Evaluación,Directiva Académica - Numeral 5.16
¿Qué documentación necesito para postular al programa de complementación académica?,"Debes presentar tu ficha de matrícula, constancia de notas, copia de DNI y recibo de pago. Las asignaturas se ofrecen según disponibilidad y demanda estudiantil. Debes tener en cuenta el límite de créditos permitido.",Programas académicos,Directiva Académica - Numeral 5.15
¿Quién autoriza el examen sustitutorio y cómo se presenta la solicitud?,"El examen sustitutorio debe ser autorizado por el director de escuela, previa presentación de la solicitud por el estudiante. Este trámite incluye el pago correspondiente y la revisión del cumplimiento de requisitos académicos. La evaluación es integral y solo puede rendirse una vez.",Evaluación,Directiva Académica - Numeral 5.18
