Pregunta,Respuesta,Categoría,Fuente
¿Qué pagos debo realizar para matricularme en la UPAO?,"Debes pagar el derecho de matrícula, la primera cuota y el carné, de acuerdo al tarifario vigente.",Matrícula y pagos,Reglamento de Cobranza y Devoluciones (Art. 7)
¿Qué pasa si tengo una deuda de semestres anteriores?,"Debes pagar toda la deuda, incluidos los intereses, antes de matricularte en el nuevo semestre.",Deudas,Reglamento de Cobranza y Devoluciones (Art. 8)
¿Qué es el interés moratorio en la UPAO?,"Es el interés diario que se aplica cuando no se paga una cuota a tiempo, según la tasa del BCR.",Intereses,Reglamento de Cobranza y Devoluciones (Art. 58)
¿Qué sucede si no pago mis cuotas dentro del semestre?,"Puedes seguir asistiendo a clases, pero no podrás matricularte el siguiente semestre si tienes deuda.",Deudas,Reglamento de Cobranza y Devoluciones (Art. 55)
¿Puedo pagar por adelantado todo el semestre?,"Sí, puedes pagar todo por adelantado y acceder a un descuento por pronto pago.",Facilidades de pago,Reglamento de Cobranza y Devoluciones (Art. 30)
¿Qué descuentos ofrece la UPAO?,"Existen descuentos por pronto pago, por convenios, y para personal o egresados de UPAO.",Descuentos,Reglamento de Cobranza y Devoluciones (Art. 42-44)
¿Qué pasa si no uso un servicio por el que pagué?,"Puedes solicitar devolución si no utilizaste el servicio, presentando tu solicitud y sustento.",Devoluciones,Reglamento de Cobranza y Devoluciones (Art. 67)
¿Cuándo se considera válida la devolución de dinero?,"Cuando no se prestó el servicio o por errores como pagos duplicados, previa solicitud.",Devoluciones,Reglamento de Cobranza y Devoluciones (Art. 72)
¿Qué debo hacer si quiero reservar mi matrícula?,Debes seguir el procedimiento oficial y pagar el monto correspondiente según el tarifario.,Reserva de matrícula,Reglamento de Cobranza y Devoluciones (Art. 24)
¿Se puede anular una deuda en la UPAO?,"Sí, si se justifica que no se recibió el servicio educativo. Debes presentar solicitud formal.",Anulación de deuda,Reglamento de Cobranza y Devoluciones (Art. 60-63)
¿Cuánto tiempo tarda la devolución de dinero?,El plazo es de 10 días hábiles desde la recepción de la solicitud completa.,Devoluciones,Reglamento de Cobranza y Devoluciones (Art. 70)
¿Qué pasa si me inhabilitan en todas las asignaturas?,Puedes solicitar la devolución parcial de cuotas por los servicios no recibidos.,Devoluciones,Reglamento de Cobranza y Devoluciones (Art. 73)
¿Qué es el compromiso de pago en asignaturas de nivelación?,Es un acuerdo donde el estudiante acepta pagar incluso si no se completa el grupo necesario.,Compromisos de pago,Reglamento de Cobranza y Devoluciones (Art. 35)
¿Se puede devolver dinero en diplomaturas o programas especiales?,"Sí, si el programa no inicia por causas atribuibles a la UPAO, procede devolución del 100%.",Devoluciones,Reglamento de Cobranza y Devoluciones (Art. 88)
¿Los estudiantes PRONABEC deben pagar matrícula?,"No, el pago está cubierto por PRONABEC durante el periodo de beca activa.",Becas,Reglamento de Cobranza y Devoluciones (Art. 104)
¿Qué medios de pago se aceptan?,"Pagos a través de bancos autorizados, agentes, apps bancarias o campus virtual.",Pagos,Reglamento de Cobranza y Devoluciones (Art. 28)
¿Cuántas cuotas se pueden pagar por enseñanza?,Puedes pagar en cuotas fraccionadas o todo junto si eliges el pronto pago.,Pagos,Reglamento de Cobranza y Devoluciones (Art. 29-31)
¿Qué pasa si pago por error un trámite?,Puedes solicitar devolución si el trámite no se realizó o fue un error de pago.,Errores de pago,Reglamento de Cobranza y Devoluciones (Art. 72)
¿Cuáles son los requisitos para reanudar estudios?,Debes pagar el derecho correspondiente y seguir el calendario académico.,Reanudación,Reglamento de Cobranza y Devoluciones (Art. 25)
¿Qué sucede si pagué el examen de admisión pero no me presenté?,No procede devolución si no rindes el examen salvo casos excepcionales justificados.,Admisión,Reglamento de Cobranza y Devoluciones (Art. 79)
