Pregunta,Respuesta,Categoría,Fuente
¿Qué es la Defensoría Universitaria en la UPAO?,Es una unidad autónoma que vela por el respeto de los derechos de la comunidad universitaria frente a posibles actos arbitrarios.,Generalidades,"Reglamento de Defensoría Universitaria (Art. 1, 3)"
¿Quién puede acudir a la Defensoría Universitaria?,"Cualquier miembro de la comunidad universitaria: estudiantes, docentes y egresados.",Acceso,Reglamento de Defensoría Universitaria (Art. 5)
¿Cuándo puede actuar la Defensoría por su cuenta?,"Excepcionalmente, puede actuar de oficio cuando lo considere necesario.",Intervención,Reglamento de Defensoría Universitaria (Art. 5)
¿Qué funciones tiene la Defensoría Universitaria?,"Investigar denuncias, mediar conflictos, recomendar mejoras normativas y promover el respeto de derechos.",Funciones,Reglamento de Defensoría Universitaria (Art. 16)
¿La Defensoría puede imponer sanciones?,"No, solo puede emitir recomendaciones. Sus decisiones no son vinculantes.",Limitaciones,Reglamento de Defensoría Universitaria (Art. 18)
¿Qué casos no son competencia de la Defensoría Universitaria?,"Casos colectivos, laborales, disciplinarios, evaluaciones académicas y procesos en otras vías.",Exclusiones,"Reglamento de Defensoría Universitaria (Art. 17, 21)"
¿Cómo se presenta una denuncia o reclamación?,"Mediante un escrito con datos personales, hechos detallados y sustento documental, de forma presencial o virtual.",Procedimiento,Reglamento de Defensoría Universitaria (Art. 26)
¿Qué datos debo incluir al presentar una denuncia?,"Nombre, DNI, código UPAO, programa, teléfono, hechos, derechos vulnerados y documentos de respaldo.",Procedimiento,Reglamento de Defensoría Universitaria (Art. 26)
¿Qué plazo tiene la Defensoría para responder una denuncia?,"Hasta 15 días hábiles luego de admitir la denuncia, prorrogables en casos complejos.",Plazos,Reglamento de Defensoría Universitaria (Art. 20)
¿Cómo se designa al Defensor Universitario?,"Es designado por el Consejo Directivo, a propuesta del Rector, por un periodo de dos años renovables.",Designación,Reglamento de Defensoría Universitaria (Art. 11)
¿Qué requisitos debe cumplir el Defensor Universitario?,"Ser docente ordinario, titulado, colegiado, con grado de Maestro y experiencia en gestión y derecho.",Requisitos,Reglamento de Defensoría Universitaria (Art. 8)
¿Qué pasa si se detecta un caso que ya se ve en otra instancia?,La Defensoría cesa su intervención si el caso está siendo tratado en otra vía administrativa o judicial.,Limitaciones,Reglamento de Defensoría Universitaria (Art. 23)
¿Qué funciones tiene el Defensor Adjunto?,Apoyar al Defensor Universitario y asumir el cargo interinamente si este se ausenta.,Organización,Reglamento de Defensoría Universitaria (Art. 9)
¿Cómo garantiza la confidencialidad la Defensoría?,Dispone de un registro reservado y garantiza la privacidad de los involucrados.,Confidencialidad,Reglamento de Defensoría Universitaria (Art. 10)
¿Qué principios rigen la actuación de la Defensoría?,"Independencia, imparcialidad, equidad y confidencialidad.",Principios,Reglamento de Defensoría Universitaria (Art. 22)
¿Qué debe hacer la universidad ante un requerimiento de la Defensoría?,Brindar información y apoyo necesario en un plazo máximo de 5 días.,Colaboración institucional,Reglamento de Defensoría Universitaria (Art. 31)
¿Qué pasa si la denuncia no cumple los requisitos?,Se concede 3 días al denunciante para subsanar los errores o completar información.,Procedimiento,Reglamento de Defensoría Universitaria (Art. 29)
¿Cuál es el rol de la Defensoría en la mejora institucional?,Puede recomendar mejoras en normas y procedimientos para prevenir conflictos.,Mejora continua,Reglamento de Defensoría Universitaria (Art. 24)
¿Dónde se presenta el informe anual de la Defensoría?,Se presenta al Rectorado con las conclusiones de sus actuaciones del año.,Transparencia,Reglamento de Defensoría Universitaria (Art. 33)
¿Qué pasa si el Defensor incumple sus funciones?,"Puede ser removido por negligencia, sanción administrativa o condena judicial.",Remoción,Reglamento de Defensoría Universitaria (Art. 14)
