Pregunta,Respuesta,Categoría,Fuente
¿Cuál es el objetivo del Reglamento Docente de la UPAO?,"Establecer el perfil del docente, su evaluación, derechos, deberes, obligaciones, capacitación y régimen disciplinario.",Generalidades,Reglamento Docente UPAO (Art. 1)
¿Cuáles son las dimensiones del perfil del docente UPAO?,"Docencia, investigación, proyección social y gestión universitaria.",Perfil del docente,Reglamento Docente UPAO (Art. 4)
¿Qué requisitos debe cumplir un docente ordinario de pregrado?,"Tener como mínimo el grado académico de Maestro, homologado o revalidado según ley.",Docentes ordinarios,Reglamento Docente UPAO (Art. 11)
¿Qué tipos de docentes contempla el reglamento?,"Ordinarios, extraordinarios y contratados.",Tipos de docentes,Reglamento Docente UPAO (Art. 6)
¿Qué sanciones se aplican por faltas disciplinarias?,"Amonestación escrita, suspensión, cese temporal y destitución.",Régimen disciplinario,Reglamento Docente UPAO (Art. 18)
¿Qué constituye una falta muy grave según el reglamento?,"Actos como plagio, hostigamiento, falsificación de notas, tráfico de notas, entre otros.",Faltas graves,Reglamento Docente UPAO (Art. 29)
¿Quién aplica la sanción de destitución a un docente ordinario?,"El Consejo Directivo, previa investigación y proceso disciplinario.",Procedimiento disciplinario,Reglamento Docente UPAO (Art. 27)
¿Qué derechos tienen los docentes ordinarios?,"Elegir y ser elegidos, promoción en carrera docente, licencias con goce o sin goce de haber.",Derechos,Reglamento Docente UPAO (Art. 63)
¿Qué obligaciones deben cumplir los docentes?,"Ejercer con rigor, promover investigación, respetar normas, evaluar con ética y utilizar medios tecnológicos.",Obligaciones,Reglamento Docente UPAO (Art. 64)
¿Qué actividades deben cumplir los docentes respecto al sílabo?,"Planificar sesiones, socializarlo, incluir bibliografía, registrar asistencia y cumplir con evaluaciones.",Obligaciones académicas,Reglamento Docente UPAO (Art. 64)
¿Cuál es el proceso de contratación docente por concurso?,"Evaluación por CV, clase modelo y entrevista personal con comisión respectiva.",Contratación,Reglamento Docente UPAO (Art. 55)
¿Qué criterios de evaluación se usan para docentes por invitación?,CV (77.5%) y entrevista personal (22.5%).,Contratación,Reglamento Docente UPAO (Art. 57)
¿Qué actividades debe cumplir el docente respecto a las evaluaciones?,"Publicarlas en plataforma, entregar corregidas, resolver revisiones, y subir notas a tiempo.",Evaluación académica,Reglamento Docente UPAO (Art. 64)
¿Qué debe hacer el docente ante una inasistencia?,Justificarla y recuperar las clases no dictadas.,Responsabilidad docente,Reglamento Docente UPAO (Art. 64)
¿Qué prácticas están prohibidas al docente dentro del campus?,"Fumar, consumir licor, proselitismo político y aceptar regalos de estudiantes.",Conducta,Reglamento Docente UPAO (Art. 64)
¿Qué condiciones excluyen a postulantes para la docencia contratada?,"Delitos graves, deudas alimentarias, sanciones por hostigamiento, y despidos anteriores.",Contratación docente,Reglamento Docente UPAO (Art. 60)
¿Quién organiza los concursos para plazas docentes?,"Las facultades, con participación del decano, director del programa y docente evaluador.",Gestión docente,Reglamento Docente UPAO (Art. 55)
¿Qué es el PACD?,"Plan Anual de Capacitación Docente, propuesto por el Vicerrectorado Académico.",Capacitación,Reglamento Docente UPAO (Art. 65-66)
¿Con qué frecuencia se evalúa el desempeño docente?,"Semestralmente, considerando opinión estudiantil, desempeño pedagógico y cumplimiento normativo.",Evaluación docente,Reglamento Docente UPAO (Art. 70-71)
¿Qué debe hacer un docente frente a reclamos de estudiantes?,Atenderlos con respeto y objetividad sobre aspectos académicos como sílabos y notas.,Atención al estudiante,Reglamento Docente UPAO (Art. 64)
