Pregunta,Respuesta,Categoría,Fuente
¿Qué modalidades de estudio ofrece la UPAO?,"La UPAO ofrece modalidades presencial y semipresencial, organizadas por créditos y en régimen semestral.",Modalidades de estudio,Reglamento de Estudios de Pregrado (Art. 4-5)
¿Qué significa régimen semestral en la UPAO?,"Significa que hay dos periodos académicos al año, cada uno con 16 semanas de clases más una semana para el examen sustitutorio.",Régimen de estudios,Reglamento de Estudios de Pregrado (Art. 5)
¿Qué sucede si desapruebo una misma asignatura tres veces?,Serás separado de manera automática y definitiva de la universidad.,Condición del estudiante,Reglamento de Estudios de Pregrado (Art. 19)
¿Qué requisitos se piden para un traslado interno?,"Haber aprobado al menos 18 créditos, no estar en proceso disciplinario y presentar los documentos requeridos en la Plataforma de Atención al Usuario.",Traslados,Reglamento de Estudios de Pregrado (Art. 24-27)
¿Puedo solicitar reanudación de estudios después de tres años?,"Sí, pero será evaluado por el director del programa de estudio y el decano decidirá si procede.",Reanudación,Reglamento de Estudios de Pregrado (Art. 21-22)
¿Qué se necesita para convalidar asignaturas?,"Debes cumplir con que el curso tenga al menos el 80% de contenido similar y presentar los documentos requeridos, incluyendo sílabos y certificados.",Convalidaciones,Reglamento de Estudios de Pregrado (Art. 33-36)
¿Qué sucede si me retiro de todas mis asignaturas?,"Se considera como reserva de matrícula, y debes seguir el procedimiento correspondiente.",Matrícula,Reglamento de Estudios de Pregrado (Art. 66)
¿Qué pasa si acumulo 30% o más de inasistencias?,Quedas inhabilitado y no puedes rendir el examen sustitutorio.,Asistencia,Reglamento de Estudios de Pregrado (Art. 75)
¿Qué condiciones debo cumplir para rendir un examen sustitutorio?,Tener una nota promocional mínima de 07 y haber pagado los derechos correspondientes.,Evaluaciones,Reglamento de Estudios de Pregrado (Art. 107)
¿Se puede modificar una nota después del cierre académico?,"Solo se puede modificar durante el semestre y antes del cierre académico, con justificación y evidencia del docente.",Notas,Reglamento de Estudios de Pregrado (Art. 110)
¿Qué es la programación académica?,"Es el proceso de organizar asignaturas, docentes, ambientes y horarios, garantizando que se cumplan las ratios y aforos.",Gestión académica,Reglamento de Estudios de Pregrado (Art. 46-50)
¿Qué es una matrícula regular y una matrícula especial?,Regular es cuando te matriculas en 12 créditos o más; especial es cuando llevas menos de 12 créditos.,Matrícula,Reglamento de Estudios de Pregrado (Art. 55)
¿Qué pasa si no me matriculo en el semestre?,Puedes perder la condición de estudiante si no solicitas reserva de matrícula.,Condición del estudiante,Reglamento de Estudios de Pregrado (Art. 59-60)
¿Qué significa evaluación formativa y sumativa?,"La formativa sirve para mejorar tu aprendizaje durante el curso, la sumativa evalúa lo aprendido al final.",Evaluación,Reglamento de Estudios de Pregrado (Art. 83)
¿Qué sucede si no asisto a un examen parcial o final?,"Puedes pedir rendirlo como rezagado, justificando tu inasistencia en los plazos establecidos.",Evaluación,Reglamento de Estudios de Pregrado (Art. 104-105)
¿Puedo retirarme de asignaturas luego del plazo oficial?,"Sí, solo de forma excepcional y con justificación válida aprobada por la dirección del programa.",Matrícula,Reglamento de Estudios de Pregrado (Art. 63)
¿Qué criterios se usan para evaluar a los docentes?,"Cumplimiento de carga horaria, registro de notas y actividades, y participación en procesos de mejora.",Docencia,Reglamento de Estudios de Pregrado (Art. 14-16)
¿Cuándo puedo solicitar matrícula en créditos adicionales?,"Si tuviste promedio 14 o más el ciclo anterior, y no debes cursos de ciclos previos.",Matrícula,Reglamento de Estudios de Pregrado (Art. 58.8-58.10)
¿Cómo se calculan las notas finales?,"Se suman los resultados de EP1, EP2, examen parcial y final. Si usas el examen sustitutorio, reemplaza la nota más baja.",Notas,Reglamento de Estudios de Pregrado (Art. 93)
¿Qué calificación se necesita para aprobar una asignatura?,"Una nota igual o mayor a 11. De 11 a 13 es bueno, de 14 a 16 muy bueno, y de 17 a 20 sobresaliente.",Notas,Reglamento de Estudios de Pregrado (Art. 95)
