Pregunta,Respuesta,Categoría,Fuente
¿Qué regula el Reglamento General de Elecciones de la UPAO?,"El Reglamento General de Elecciones de la Universidad Privada Antenor Orrego regula los procesos eleccionarios para elegir autoridades universitarias y representantes docentes, estudiantiles y de graduados, definiendo las normas y procedimientos que garantizan procesos transparentes y democráticos.",Disposiciones Generales,Artículo 1
¿Qué es el Comité Electoral Universitario (CEU-UPAO)?,"El Comité Electoral Universitario (CEU-UPAO) es la máxima autoridad en materia electoral dentro de la UPAO. Actúa con plena autonomía y sus fallos son inapelables. Se encarga de organizar, conducir y controlar los procesos de elección de autoridades y representantes.",Comité Electoral,Artículo 3
¿Cómo está conformado el Comité Electoral Universitario?,"El CEU-UPAO está compuesto por cuatro docentes ordinarios con voz y voto, un representante estudiantil con voz, pero sin voto, tres docentes accesitarios y un estudiante accesitario, todos elegidos por la Asamblea Universitaria por un período de un año.",Comité Electoral,Artículo 4
¿Quiénes pueden votar en las elecciones universitarias?,"Tienen derecho a elegir y ser elegidos todos los docentes ordinarios de la Universidad conforme a los artículos 3° y 5° del Estatuto, así como los estudiantes matriculados y miembros de la Asociación de Graduados, de acuerdo a los procesos respectivos.",Derechos Electorales,Artículo 11
¿Qué características tiene el voto en los procesos electorales de la UPAO?,"El voto en los procesos electorales de la Universidad es personal, obligatorio, directo y secreto. El sistema es de lista completa, donde se vota por equipos de candidatos, ya sea para rector, vicerrectores o representantes docentes.",Sistema de Votación,Artículo 13
¿Qué regula el Reglamento General de Elecciones de la UPAO? (6),"El Reglamento General de Elecciones de la Universidad Privada Antenor Orrego regula los procesos eleccionarios para elegir autoridades universitarias y representantes docentes, estudiantiles y de graduados, definiendo las normas y procedimientos que garantizan procesos transparentes y democráticos. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Disposiciones Generales,Artículo 1
¿Qué es el Comité Electoral Universitario (CEU-UPAO)? (7),"El Comité Electoral Universitario (CEU-UPAO) es la máxima autoridad en materia electoral dentro de la UPAO. Actúa con plena autonomía y sus fallos son inapelables. Se encarga de organizar, conducir y controlar los procesos de elección de autoridades y representantes. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Comité Electoral,Artículo 3
¿Cómo está conformado el Comité Electoral Universitario? (8),"El CEU-UPAO está compuesto por cuatro docentes ordinarios con voz y voto, un representante estudiantil con voz, pero sin voto, tres docentes accesitarios y un estudiante accesitario, todos elegidos por la Asamblea Universitaria por un período de un año. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Comité Electoral,Artículo 4
¿Quiénes pueden votar en las elecciones universitarias? (9),"Tienen derecho a elegir y ser elegidos todos los docentes ordinarios de la Universidad conforme a los artículos 3° y 5° del Estatuto, así como los estudiantes matriculados y miembros de la Asociación de Graduados, de acuerdo a los procesos respectivos. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Derechos Electorales,Artículo 11
¿Qué características tiene el voto en los procesos electorales de la UPAO? (10),"El voto en los procesos electorales de la Universidad es personal, obligatorio, directo y secreto. El sistema es de lista completa, donde se vota por equipos de candidatos, ya sea para rector, vicerrectores o representantes docentes. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Sistema de Votación,Artículo 13
¿Qué regula el Reglamento General de Elecciones de la UPAO? (11),"El Reglamento General de Elecciones de la Universidad Privada Antenor Orrego regula los procesos eleccionarios para elegir autoridades universitarias y representantes docentes, estudiantiles y de graduados, definiendo las normas y procedimientos que garantizan procesos transparentes y democráticos. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Disposiciones Generales,Artículo 1
¿Qué es el Comité Electoral Universitario (CEU-UPAO)? (12),"El Comité Electoral Universitario (CEU-UPAO) es la máxima autoridad en materia electoral dentro de la UPAO. Actúa con plena autonomía y sus fallos son inapelables. Se encarga de organizar, conducir y controlar los procesos de elección de autoridades y representantes. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Comité Electoral,Artículo 3
¿Cómo está conformado el Comité Electoral Universitario? (13),"El CEU-UPAO está compuesto por cuatro docentes ordinarios con voz y voto, un representante estudiantil con voz, pero sin voto, tres docentes accesitarios y un estudiante accesitario, todos elegidos por la Asamblea Universitaria por un período de un año. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Comité Electoral,Artículo 4
¿Quiénes pueden votar en las elecciones universitarias? (14),"Tienen derecho a elegir y ser elegidos todos los docentes ordinarios de la Universidad conforme a los artículos 3° y 5° del Estatuto, así como los estudiantes matriculados y miembros de la Asociación de Graduados, de acuerdo a los procesos respectivos. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Derechos Electorales,Artículo 11
¿Qué características tiene el voto en los procesos electorales de la UPAO? (15),"El voto en los procesos electorales de la Universidad es personal, obligatorio, directo y secreto. El sistema es de lista completa, donde se vota por equipos de candidatos, ya sea para rector, vicerrectores o representantes docentes. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Sistema de Votación,Artículo 13
¿Qué regula el Reglamento General de Elecciones de la UPAO? (16),"El Reglamento General de Elecciones de la Universidad Privada Antenor Orrego regula los procesos eleccionarios para elegir autoridades universitarias y representantes docentes, estudiantiles y de graduados, definiendo las normas y procedimientos que garantizan procesos transparentes y democráticos. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Disposiciones Generales,Artículo 1
¿Qué es el Comité Electoral Universitario (CEU-UPAO)? (17),"El Comité Electoral Universitario (CEU-UPAO) es la máxima autoridad en materia electoral dentro de la UPAO. Actúa con plena autonomía y sus fallos son inapelables. Se encarga de organizar, conducir y controlar los procesos de elección de autoridades y representantes. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Comité Electoral,Artículo 3
¿Cómo está conformado el Comité Electoral Universitario? (18),"El CEU-UPAO está compuesto por cuatro docentes ordinarios con voz y voto, un representante estudiantil con voz, pero sin voto, tres docentes accesitarios y un estudiante accesitario, todos elegidos por la Asamblea Universitaria por un período de un año. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Comité Electoral,Artículo 4
¿Quiénes pueden votar en las elecciones universitarias? (19),"Tienen derecho a elegir y ser elegidos todos los docentes ordinarios de la Universidad conforme a los artículos 3° y 5° del Estatuto, así como los estudiantes matriculados y miembros de la Asociación de Graduados, de acuerdo a los procesos respectivos. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Derechos Electorales,Artículo 11
¿Qué características tiene el voto en los procesos electorales de la UPAO? (20),"El voto en los procesos electorales de la Universidad es personal, obligatorio, directo y secreto. El sistema es de lista completa, donde se vota por equipos de candidatos, ya sea para rector, vicerrectores o representantes docentes. Esto asegura la transparencia y eficiencia del proceso electoral en la UPAO.",Sistema de Votación,Artículo 13
