Pregunta,Respuesta,Categoría,Fuente
¿Qué grados académicos regula este reglamento?,Regula la obtención del grado académico de Maestro y de Doctor en la Escuela de Posgrado de la UPAO.,Generalidades,Reglamento de Grados de la Escuela de Posgrado (Art. 2)
¿Qué modalidades de investigación se aceptan para obtener el grado?,"Se aceptan tesis o trabajos de investigación individuales, inéditos, relevantes y rigurosos.",Modalidades,Reglamento de Grados de la Escuela de Posgrado (Art. 4)
¿Qué condiciones debe cumplir una tesis para grado de Doctor?,Debe publicarse previamente un artículo científico en una revista indexada de impacto nacional o internacional.,Tesis doctoral,Reglamento de Grados de la Escuela de Posgrado (Art. 10)
¿Quién aprueba el proyecto de tesis?,"El Comité de Tesis correspondiente, que emite un informe dentro de los 5 días siguientes.",Evaluación de proyecto,Reglamento de Grados de la Escuela de Posgrado (Art. 13)
¿Qué pasa si el proyecto no es aprobado?,"El estudiante tiene 15 días para subsanar observaciones. Si no es aprobado nuevamente, debe elaborar un nuevo proyecto.",Evaluación de proyecto,Reglamento de Grados de la Escuela de Posgrado (Art. 15)
¿Cuál es el plazo máximo para desarrollar la tesis o trabajo de investigación?,"24 meses desde el registro del proyecto, pasado ese plazo caduca.",Plazos,Reglamento de Grados de la Escuela de Posgrado (Art. 16)
¿Quién puede ser asesor de tesis?,"Un docente o investigador con grado igual o superior al programa del estudiante, con publicaciones en revistas indexadas.",Asesoría,Reglamento de Grados de la Escuela de Posgrado (Art. 22)
¿Cuántos estudiantes puede asesorar un profesor a la vez?,Hasta un máximo de cuatro (4) estudiantes simultáneamente.,Asesoría,Reglamento de Grados de la Escuela de Posgrado (Art. 23)
¿Qué sucede si el estudiante desea cambiar de asesor?,"Puede solicitarlo por escrito, y el decano resolverá vía resolución si es razonable.",Asesoría,Reglamento de Grados de la Escuela de Posgrado (Art. 26)
¿Está permitido cobrar por asesorías de tesis?,"No, está prohibido que los asesores hagan cobros por sus servicios.",Asesoría,Reglamento de Grados de la Escuela de Posgrado (Art. 27)
¿Qué requisitos hay para sustentar la tesis?,"Tener el informe de asesor, reporte antiplagio, estar egresado, tener notas mínimas de 14, y otros requisitos administrativos.",Sustentación,Reglamento de Grados de la Escuela de Posgrado (Art. 32)
¿Puede el asesor ser parte del jurado de tesis?,"No, el asesor no puede integrar el jurado.",Jurados,Reglamento de Grados de la Escuela de Posgrado (Art. 32)
¿Cómo se califica una tesis sustentada?,"Se califica como Bueno, Muy Bueno o Sobresaliente por decisión del jurado.",Calificación,Reglamento de Grados de la Escuela de Posgrado (Art. 34)
¿Qué ocurre si desapruebo la sustentación?,"Puedes volver a sustentar entre 60 y 120 días. Si desapruebas otra vez, debes elaborar una nueva tesis.",Reprobación,Reglamento de Grados de la Escuela de Posgrado (Art. 37)
¿Qué sucede con la tesis aprobada?,Se envía impresa y en CD a la Biblioteca Central y se tramita el grado ante el Consejo Directivo.,Grado,Reglamento de Grados de la Escuela de Posgrado (Art. 38)
¿Es obligatorio usar software antiplagio?,"Sí, el uso de software antiplagio es obligatorio en todo el proceso de tesis.",Ética,"Reglamento de Grados de la Escuela de Posgrado (Art. 11, 31, 32)"
¿Cómo se estructura el informe final de tesis?,"Debe seguir el esquema aprobado por la Escuela y normas específicas como APA o Vancouver, según el área.",Informe final,"Reglamento de Grados de la Escuela de Posgrado (Anexo 02, 04)"
¿Puede sustentarse en modalidad virtual?,"Sí, en situaciones especiales como distancia o razones sanitarias, puede autorizarse sustentación no presencial.",Modalidad de sustentación,Reglamento de Grados de la Escuela de Posgrado (Disposición Transitoria)
¿Cuál es el rol del Comité de Tesis?,"Revisar y aprobar proyectos, recomendar evaluaciones éticas y emitir informes.",Comité de tesis,Reglamento de Grados de la Escuela de Posgrado (Art. 13-15)
¿Qué pasa si el jurado no emite su informe a tiempo?,Será reemplazado por otro miembro y se dejará sin efecto su nombramiento.,Jurados,Reglamento de Grados de la Escuela de Posgrado (Art. 34)
