Pregunta,Respuesta,Categoría,Fuente
¿Cuál es el objetivo del reglamento sobre hostigamiento sexual de la UPAO?,"Establecer normas y procedimientos para prevenir, investigar y sancionar el hostigamiento sexual en el entorno universitario.",Objetivo,Reglamento Hostigamiento Sexual UPAO (Art. 1)
¿A quiénes aplica el reglamento de hostigamiento sexual en la UPAO?,"A docentes, estudiantes, personal administrativo, egresados, exestudiantes y contratistas vinculados a la universidad.",Ámbito de aplicación,Reglamento Hostigamiento Sexual UPAO (Art. 2)
¿Qué conductas se consideran hostigamiento sexual según el reglamento?,"Promesas, amenazas, comentarios o gestos sexuales, tocamientos no deseados, trato ofensivo por rechazo y otras similares.",Conductas,Reglamento Hostigamiento Sexual UPAO (Art. 13)
¿Cuáles son los principios del procedimiento frente al hostigamiento sexual?,"Dignidad, igualdad, confidencialidad, intervención oportuna, debido procedimiento, no revictimización, entre otros.",Principios,Reglamento Hostigamiento Sexual UPAO (Art. 5)
¿Qué órgano universitario recibe las denuncias de hostigamiento sexual?,La Secretaría de Instrucción es el órgano que recibe denuncias y conduce el procedimiento disciplinario.,Órganos,Reglamento Hostigamiento Sexual UPAO (Art. 18-19)
¿Qué medidas de protección se brindan a la víctima?,"Rotación del hostigador, atención médica y psicológica, medidas de impedimento de contacto, entre otras.",Protección,"Reglamento Hostigamiento Sexual UPAO (Art. 7, 56)"
¿Puede iniciarse una investigación sin una denuncia formal?,"Sí, si se tiene conocimiento por redes sociales, prensa u otros medios, puede iniciarse de oficio.",Inicio de procedimiento,Reglamento Hostigamiento Sexual UPAO (Art. 34a)
¿Cuál es la función de la Comisión Disciplinaria para Hostigamiento Sexual?,Emitir la resolución de primera instancia y aplicar sanciones cuando corresponda.,Órganos,Reglamento Hostigamiento Sexual UPAO (Art. 23)
¿Qué instancia resuelve las apelaciones en casos de hostigamiento sexual?,El Tribunal Disciplinario actúa como segunda y última instancia administrativa.,Apelaciones,"Reglamento Hostigamiento Sexual UPAO (Art. 28, 41)"
¿Puede la víctima desistirse de la denuncia?,"Sí, pero el procedimiento disciplinario continúa hasta su resolución.",Desistimiento,Reglamento Hostigamiento Sexual UPAO (Art. 35)
¿Qué acciones preventivas debe tomar la universidad?,"Charlas, campañas de sensibilización, difusión del reglamento y mecanismos de denuncia.",Prevención,Reglamento Hostigamiento Sexual UPAO (Art. 17)
¿Qué debe hacer un estudiante hostigado durante prácticas preprofesionales?,Recibir orientación de la Defensoría Universitaria sobre el procedimiento externo y seguimiento del caso.,Estudiantes,Reglamento Hostigamiento Sexual UPAO (Art. 3)
¿Qué es el principio de no revictimización?,Evitar que la víctima sea expuesta innecesariamente a repetir su testimonio o a procesos traumáticos.,Principios,Reglamento Hostigamiento Sexual UPAO (Art. 5.12)
¿Qué funciones tiene la Secretaría Técnica?,Asesorar y apoyar legalmente la investigación para garantizar un proceso eficaz y confidencial.,Apoyo legal,Reglamento Hostigamiento Sexual UPAO (Art. 72)
¿Qué pasa si el hostigador es separado de la universidad antes del fallo?,"El procedimiento continúa hasta la decisión final, y pueden aplicarse sanciones igualmente.",Vinculación,"Reglamento Hostigamiento Sexual UPAO (Art. 15, 67)"
¿Qué requisitos deben cumplir los miembros del Comité de Intervención?,"Paridad de género, no tener antecedentes ni sanciones, y conocimiento en derecho y género.",Comité,"Reglamento Hostigamiento Sexual UPAO (Art. 27, 32, 52)"
¿Cómo se informa a las víctimas sobre el proceso?,"Se les notifica sobre cada etapa: informes, resoluciones y descargos del investigado.",Transparencia,Reglamento Hostigamiento Sexual UPAO (Art. 42)
¿Qué acciones se consideran como prueba del hostigamiento sexual?,"Testimonios, informes médicos, comunicaciones, registros audiovisuales, entre otros.",Medios probatorios,"Reglamento Hostigamiento Sexual UPAO (Art. 34, 39, 60)"
¿Qué criterio se usa para imponer sanciones?,"La gravedad de la conducta, los antecedentes y la proporcionalidad del acto cometido.",Sanciones,Reglamento Hostigamiento Sexual UPAO (Art. 44)
¿Qué información debe mantenerse en reserva?,"La identidad de la víctima, del investigado y de los testigos si lo solicitan.",Confidencialidad,"Reglamento Hostigamiento Sexual UPAO (Art. 8, 68)"
