Pregunta,Respuesta,Categoría,Fuente
"¿Qué regula el Reglamento de Ingreso, Promoción y Ratificación Docente de la UPAO?","El Reglamento de Ingreso, Promoción y Ratificación Docente de la UPAO regula los requisitos, procedimientos y evaluaciones para el acceso a la docencia ordinaria, su promoción y ratificación, conforme a la Ley Universitaria N° 30220, el Estatuto de la Universidad y los reglamentos institucionales.",General,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cuáles son las categorías de docencia ordinaria en la UPAO?,"Las categorías de docencia ordinaria en la Universidad Privada Antenor Orrego son: Auxiliar, Asociado y Principal.",Categorías,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué modalidades de régimen de dedicación existen en la docencia ordinaria?,"Las modalidades son: dedicación exclusiva (DE), tiempo completo (TC) y tiempo parcial (TP), definidas por el número de horas y exclusividad laboral con la universidad.",Dedicación,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cuál es la duración del nombramiento según la categoría docente?,"La duración es de tres años para Auxiliar, cinco años para Asociado y siete años para Principal. Culminado este periodo, se realiza un proceso de ratificación.",Nombramiento,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Quiénes están excluidos de este reglamento?,"Este reglamento no aplica a docentes contratados ni extraordinarios, según la Ley Universitaria N° 30220 y el Estatuto de la UPAO.",Exclusiones,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cuál es el objetivo del proceso de ingreso a la docencia ordinaria?,"El objetivo es seleccionar a los postulantes más calificados, evaluando sus méritos académicos, intelectuales, profesionales y éticos.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cómo se realiza el concurso de ingreso a la docencia ordinaria?,"Mediante concurso público de méritos y prueba de capacidad docente, siempre que exista una plaza presupuestada y aprobada.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Quién organiza y conduce el concurso de ingreso a la docencia?,"La organización está a cargo de las Facultades. El Consejo de Facultad aprueba las bases del concurso, designa al jurado y propone el nombramiento del ganador.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué contiene el expediente de postulación?,"Debe contener comprobante de pago, currículum vitae documentado, DNI, declaraciones juradas, trabajo de habilitación, esquema pedagógico de clase y otros documentos requeridos.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué documentos deben presentarse para la inscripción?,Los documentos deben organizarse en el orden establecido en el reglamento y presentarse en Secretaría General dentro del plazo de convocatoria.,Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cómo se conforma el jurado del concurso docente?,"Está conformado por el decano (presidente), el director de escuela o jefe de departamento y un docente ordinario de igual o mayor categoría. También se designan miembros accesitarios.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué funciones tiene el jurado del concurso docente?,"Revisar la documentación de los postulantes, evaluar méritos y capacidad docente, calificar los trabajos, y proponer el nombramiento al Consejo de Facultad.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué se evalúa en el proceso de ingreso a la docencia?,"Se evalúan el currículum vitae, el trabajo de habilitación y la clase, conforme a una tabla de calificación que asigna puntajes a distintos aspectos académicos y profesionales.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cómo se estructura el trabajo de habilitación?,"Es una creación intelectual del postulante que demuestra su dominio profundo del área de postulación, siguiendo normas internacionales de investigación.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué elementos debe contener una clase conferencia?,"Debe incluir tema, conocimientos previos, capacidades, motivación, desarrollo de clase, evaluación del aprendizaje y retroalimentación.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cómo se califica la clase conferencia?,"La calificación considera el contenido, organización, motivación, claridad, uso del tiempo, dominio del tema y capacidad de respuesta.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cuáles son los criterios para declarar al ganador del concurso?,Se considera ganador quien obtenga el mayor puntaje por encima del mínimo exigido para la categoría a la que postula.,Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué ocurre si hay empate entre postulantes?,"En caso de empate, se prioriza el grado académico más alto, luego el currículum vitae, la clase y finalmente el trabajo de habilitación.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cómo se realiza la adjudicación de la plaza docente?,"El Consejo Directivo aprueba el nombramiento mediante resolución, con fecha de antigüedad desde el acuerdo respectivo.",Ingreso,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué es la promoción docente y cómo se lleva a cabo?,"Es el proceso por el cual un docente es evaluado para ascender a una categoría inmediata superior, siempre que exista plaza disponible y cumpla los requisitos.",Promoción,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cuáles son los requisitos para postular a la promoción docente?,"Haber sido ratificado en su categoría actual y haber cumplido el tiempo mínimo de permanencia: tres años para ascenso a Asociado, cinco para Principal.",Promoción,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué tabla se usa para evaluar la promoción docente?,"Se utiliza la tabla de calificación contenida en el Anexo N° 2 del reglamento, que evalúa méritos académicos, científicos, administrativos y pedagógicos.",Promoción,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cómo se organiza el proceso de ratificación docente?,"Debe organizarse antes del vencimiento del período de nombramiento o última ratificación, iniciando el proceso entre 30 a 45 días hábiles antes.",Ratificación,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cuál es el objetivo del proceso de ratificación?,"Verificar la calidad del docente, evaluando su desempeño académico, pedagógico, ético, y su contribución institucional.",Ratificación,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué se evalúa en el proceso de ratificación?,"Se consideran producción científica, evaluación lectiva, perfeccionamiento, cumplimiento institucional, entrevista personal, entre otros.",Ratificación,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué ocurre si un docente no es ratificado?,"Si no obtiene el puntaje mínimo, el docente no es ratificado, lo cual implica la finalización de su vínculo laboral con la universidad.",Ratificación,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué puntajes mínimos se exigen para cada categoría docente?,"50 puntos para Auxiliar, 60 para Asociado, 90 para Principal en ingreso; en ratificación, 40 para Auxiliar, 50 para Asociado, 70 para Principal.",Evaluación,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Qué deméritos pueden restar puntos en la evaluación?,"Entre los deméritos están medidas disciplinarias, inasistencias injustificadas, desacatos o separaciones de comisiones.",Evaluación,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Quién resuelve los recursos impugnativos?,"Los recursos impugnativos son resueltos por el Consejo de Facultad o Consejo Directivo, según el procedimiento indicado en el reglamento.",Procedimientos,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
¿Cuál es la vigencia del presente reglamento?,"El reglamento rige desde su aprobación por el Consejo Directivo y deroga normas anteriores sobre ingreso, ascenso y ratificación docente.",General,"Reglamento de Ingreso, Promoción y Ratificación Docente - UPAO (Resolución N° 258-2018-CD-UPAO)"
