Pregunta,Respuesta,Categoría,Fuente
¿Cuál es el objetivo del Reglamento de Investigación de la UPAO?,"Fomentar y generar espacios de búsqueda, análisis, interpretación, difusión, aplicación y transferencia del conocimiento.",Objetivos,Reglamento de Investigación UPAO (Art. 9)
¿Qué principios rigen la actividad investigativa en UPAO?,"Honestidad, rigurosidad, imparcialidad, transparencia, respeto y responsabilidad.",Principios,Reglamento de Investigación UPAO (Art. 7)
¿Quiénes están obligados a cumplir el Reglamento de Investigación?,"Autoridades académicas, docentes, estudiantes y personas externas que participen en proyectos financiados o avalados por la universidad.",Ámbito de aplicación,Reglamento de Investigación UPAO (Art. 4)
¿Qué son las líneas de investigación en la UPAO?,Ejes temáticos que guían las investigaciones hacia áreas prioritarias para la región y el país.,Líneas de investigación,Reglamento de Investigación UPAO (Art. 11)
¿Qué tipos de docentes investigadores existen en UPAO?,"Docente Investigador UPAO, Docente RENACYT UPAO y Docente que realiza investigación.",Docentes,Reglamento de Investigación UPAO (Art. 41-43)
¿Qué requisitos se deben cumplir para crear un grupo de investigación?,"Tener al menos una línea de investigación activa, investigadores registrados en CTI Vitae y aprobación de la facultad.",Grupos de investigación,Reglamento de Investigación UPAO (Art. 18)
¿Qué tipos de proyectos de investigación reconoce la UPAO?,"Investigaciones básicas y aplicadas, de tipo cualitativo, cuantitativo o mixto.",Proyectos,Reglamento de Investigación UPAO (Art. 22)
¿Qué características debe tener un proyecto de investigación en UPAO?,"Relevancia, viabilidad, vinculación a líneas de investigación y aprobación por par externo.",Proyectos,Reglamento de Investigación UPAO (Art. 22)
¿Qué incentivos existen para los docentes investigadores?,"Asignación de carga no lectiva, incentivos por publicaciones, acceso a fondos FAIN y FASIN.",Incentivos,Reglamento de Investigación UPAO (Art. 52)
¿Qué obligaciones tienen los docentes investigadores?,"Liderar grupos de investigación, asesorar tesis, registrar proyectos y difundir resultados.",Obligaciones,Reglamento de Investigación UPAO (Art. 51)
¿Qué es la investigación formativa?,Es un eje del modelo educativo que fomenta la investigación desde etapas iniciales del pregrado.,Formación,Reglamento de Investigación UPAO (Art. 25)
¿Qué funciones cumple el Vicerrectorado de Investigación?,"Gestiona políticas, fondos, convocatorias, evaluación y supervisión de la investigación.",Gestión,Reglamento de Investigación UPAO (varios artículos)
¿Qué criterios se consideran en la evaluación de proyectos?,"Criterios estipulados en bases de convocatoria, evaluación por pares, impacto y resultados.",Evaluación,Reglamento de Investigación UPAO (Art. 24)
¿Dónde deben difundirse los resultados de investigación?,"Revistas científicas indizadas, repositorio institucional y eventos científicos.",Difusión,Reglamento de Investigación UPAO (Art. 35-39)
¿Qué actividades realiza el Centro de Investigación Multidisciplinario?,"Desarrolla proyectos, publica resultados, realiza pasantías y articula líneas de investigación.",Centro multidisciplinario,Reglamento de Investigación UPAO (Art. 20)
¿Qué normas deben respetarse al usar animales en investigación?,Cumplimiento de la Ley N.° 30407 y aprobación de comité de ética en bienestar animal.,Ética,Reglamento de Investigación UPAO (Art. 55)
¿Qué mecanismos existen para supervisar proyectos de investigación?,Seguimiento por oficinas del Vicerrectorado de Investigación y presentación de informes.,Supervisión,Reglamento de Investigación UPAO (Art. 24)
¿Qué condiciones se exigen para publicar artículos en revistas UPAO?,"Cumplir estándares científicos, tener aprobación editorial y firmar contrato con Fondo Editorial.",Publicación,Reglamento de Investigación UPAO (Art. 39)
¿Qué actividades contempla la formación científica de estudiantes?,"Participación en semilleros, tesis, cursos de investigación y jornadas científicas.",Formación estudiantil,"Reglamento de Investigación UPAO (Art. 25-27, 40)"
¿Qué compromisos tiene un docente que participa en eventos internacionales?,Presentar informe técnico y realizar transferencia de conocimientos a la comunidad UPAO.,Eventos científicos,Reglamento de Investigación UPAO (Art. 29-31)
