Pregunta,Respuesta,Categoría,Fuente
¿Qué es un médico residente en la UPAO?,Es un profesional de medicina que cursa estudios de Segunda Especialización en modalidad de docencia en servicio en instituciones del sector salud.,Generalidades,Reglamento de los Médicos Residentes (Art. 3)
¿Qué derechos tienen los médicos residentes?,"Recibir formación académica, expresar ideas, participar en investigación y recibir el título de especialista, entre otros.",Derechos,Reglamento de los Médicos Residentes (Art. 4)
¿Cuáles son algunas obligaciones del médico residente?,"Cumplir normas institucionales, realizar docencia en servicio, investigación, y participar en guardias.",Obligaciones,Reglamento de los Médicos Residentes (Art. 3)
¿Cómo se evalúa el desempeño del residente?,"Mediante evaluación académica y asistencial en áreas cognitivas, procedimentales y actitudinales.",Evaluación,Reglamento de los Médicos Residentes (Art. 5-7)
¿Qué instrumentos se utilizan en la evaluación académica?,"Exámenes teóricos, portafolio mensual, mini-CEX y observación directa de procedimientos (DOPS).",Evaluación,Reglamento de los Médicos Residentes (Art. 14)
¿Cuál es el peso del examen teórico en la nota final?,El examen teórico representa el 40% de la evaluación académica.,Evaluación,Reglamento de los Médicos Residentes (Art. 14)
¿Qué pasa si no subo mi portafolio a tiempo?,Recibirás calificación de cero por incumplimiento de entrega.,Evaluación,Reglamento de los Médicos Residentes (Art. 14.K)
¿Qué nota necesito para aprobar el año académico?,La nota final debe ser igual o superior a 13.,Evaluación final,Reglamento de los Médicos Residentes (Art. 16)
¿Puedo rendir un examen de recuperación?,"Sí, por razones justificadas como salud, duelo familiar o representación institucional.",Evaluación,Reglamento de los Médicos Residentes (Art. 14.F)
¿Qué pasa si desapruebo el año académico?,El residente es separado del Programa de Residentado Médico.,Condición académica,Reglamento de los Médicos Residentes (Art. 18)
¿Qué requisitos debo cumplir para obtener el título de especialista?,Aprobar los años académicos y presentar un trabajo de investigación.,Grado académico,Reglamento de los Médicos Residentes (Art. 27)
¿Qué sanciones pueden aplicarse al residente?,"Llamadas de atención, suspensión o expulsión según la falta cometida.",Disciplina,Reglamento de los Médicos Residentes (Art. 30)
¿Qué es una rotación médica externa?,"Es una pasantía fuera de la sede, nacional o internacional, hasta por un tercio de la formación.",Rotaciones,Reglamento de los Médicos Residentes (Art. 31)
¿Quién realiza la evaluación asistencial?,La sede prestadora de salud mediante su jefatura asistencial.,Evaluación asistencial,Reglamento de los Médicos Residentes (Art. 15)
¿Cuándo se consolida la nota final promocional?,Se calcula promediando evaluación académica y asistencial al cierre del año.,Evaluación final,Reglamento de los Médicos Residentes (Art. 16)
¿Qué métodos de evaluación se aplican en la práctica clínica diaria?,"Portafolios, rúbricas, observaciones directas, autorreflexión y evaluación basada en evidencias.",Evaluación continua,Reglamento de los Médicos Residentes (Anexos Hojas 1-6)
¿Qué actividades se evalúan mensualmente?,"Caso clínico, incidente crítico, actividades clínicas diarias y reflexión sobre la práctica.",Evaluación mensual,Reglamento de los Médicos Residentes (Anexo Hoja 01-A)
¿Cuál es el rol del tutor UPAO?,"Supervisar, evaluar y acompañar académicamente al residente en su sede asistencial.",Docencia,Reglamento de los Médicos Residentes (Art. 11)
¿Qué competencias se evalúan en incidentes críticos?,"Comunicación, profesionalismo, práctica basada en sistemas y cuidado centrado en el paciente.",Competencias,Reglamento de los Médicos Residentes (Hoja 5 y 6)
¿Qué ocurre si no me matriculo dentro del plazo?,Puedes perder el año académico si no solicitas matrícula extemporánea dentro de los 15 días.,Matrícula,Reglamento de los Médicos Residentes (Art. 3.k)
