Pregunta,Respuesta,Categoría,Fuente
¿Qué es la movilidad académica docente?,Es el desplazamiento temporal de docentes de pregrado o posgrado entre instituciones universitarias con convenio vigente con la UPAO.,Generalidades,Reglamento de Movilidad Académica de Docentes (Art. 1-2)
¿Qué tipos de movilidad académica docente existen?,"Presencial (estancias cortas o por semestre) y no presencial (virtual), dependiendo del tiempo y modalidad.",Tipos de movilidad,Reglamento de Movilidad Académica de Docentes (Art. 12)
¿Qué es una estancia corta?,Es una movilidad académica presencial con duración mínima de una semana y menor a cuatro meses.,Modalidades,Reglamento de Movilidad Académica de Docentes (Art. 12.1.1)
¿Qué requisitos debo cumplir para postular a movilidad docente saliente?,"Tener contrato vigente, plan de actividades, carta de invitación, certificado de salud, y no tener sanciones.",Requisitos,Reglamento de Movilidad Académica de Docentes (Art. 13)
¿Qué es una movilidad docente no presencial?,Movilidad realizada mediante plataformas digitales entre instituciones con convenio vigente con la UPAO.,Tipos de movilidad,Reglamento de Movilidad Académica de Docentes (Art. 12.2)
¿Quién autoriza la movilidad académica de un docente UPAO?,"El Rector, previa aprobación del Consejo de Facultad y resolución del Decano.",Autorización,Reglamento de Movilidad Académica de Docentes (Art. 14.c)
¿Qué compromisos debe asumir un docente de salida?,"Incorporarse en la fecha, presentar informes, ajustarse a normas de la institución destino, y presentar constancia final.",Deberes,Reglamento de Movilidad Académica de Docentes (Art. 15)
¿Qué sucede si el docente renuncia a la movilidad sin causa justificada?,No podrá participar en futuras movilidades por al menos un año y podría recibir otras sanciones.,Renuncia,Reglamento de Movilidad Académica de Docentes (Art. 16)
¿Qué debe contener el plan de actividades para movilidad?,"Asignaturas, unidades de aprendizaje, cronograma, objetivos y fundamentación del impacto académico.",Documentación,Reglamento de Movilidad Académica de Docentes (Art. 13.e)
¿Qué es un docente de entrada?,Docente proveniente de otra institución que realiza movilidad en la UPAO bajo convenio vigente.,Definiciones,Reglamento de Movilidad Académica de Docentes (Art. 6)
¿Qué debe hacer un docente visitante al llegar a la UPAO?,"Comunicar su llegada, cumplir requisitos legales, presentar documentos y contar con seguro médico.",Requisitos,Reglamento de Movilidad Académica de Docentes (Art. 20)
¿Se puede hacer movilidad académica por investigación?,"Sí, tanto en modalidad presencial como virtual, y debe generar un producto final.",Movilidad por investigación,"Reglamento de Movilidad Académica de Docentes (Art. 12.1.1.b, 12.2.1.c)"
¿Qué apoyo recibe un docente UPAO en movilidad saliente?,Puede recibir una subvención económica según presupuesto disponible de su facultad o escuela.,Subvenciones,Reglamento de Movilidad Académica de Docentes (Art. 9)
¿Qué papel cumple la Oficina de Relaciones Exteriores?,"Promueve convenios, asesora postulaciones y coordina con las facultades para ejecutar el programa.",Responsabilidades institucionales,Reglamento de Movilidad Académica de Docentes (Art. 10)
¿Qué documentación se requiere para postular a movilidad?,"Expediente físico o digital, carta de invitación, plan de actividades, certificado médico y otros.",Requisitos,Reglamento de Movilidad Académica de Docentes (Art. 13-14)
¿Qué pasa si un docente UPAO termina su contrato durante la movilidad?,"Debe reintegrar el monto total de la subvención recibida más intereses, si fuera el caso.",Sanciones,Reglamento de Movilidad Académica de Docentes (Art. 15.c)
¿Qué derechos NO tiene el docente visitante?,"No tiene derechos electorales, ni acceso a becas o participación en órganos de gobierno.",Limitaciones,Reglamento de Movilidad Académica de Docentes (Art. 20)
¿Cuál es la duración mínima de una movilidad académica?,"Mínimo una semana, ya sea en modalidad presencial o no presencial.",Duración,Reglamento de Movilidad Académica de Docentes (Art. 12.1.1 y 12.2.1)
¿Qué constancia recibe el docente visitante al culminar la movilidad?,Una constancia de participación emitida por la UPAO.,Reconocimiento,Reglamento de Movilidad Académica de Docentes (Art. 22)
¿Qué condiciones deben cumplir las instituciones para aplicar movilidad?,Tener convenio vigente con la UPAO.,Convenios,"Reglamento de Movilidad Académica de Docentes (Art. 1, 3)"
