Pregunta,Respuesta,Categoría,Fuente
¿Qué es el Repositorio Institucional de Investigación de la UPAO?,"Es un servicio que recopila, gestiona, difunde y preserva información digital de acceso libre sobre ciencia, tecnología, innovación y humanidades producida en la universidad.",Definición,Reglamento del Repositorio Institucional de Investigación (Art. 1)
¿Cuál es el objetivo del reglamento del Repositorio?,"Dar visibilidad a la producción académica, fomentar nuevas investigaciones y garantizar el respeto por la propiedad intelectual.",Objetivo,Reglamento del Repositorio Institucional de Investigación (Art. 3)
¿Quiénes pueden aportar al Repositorio?,"Docentes, estudiantes de pregrado y posgrado, egresados e investigadores que colaboran con la universidad.",Contribuyentes,Reglamento del Repositorio Institucional de Investigación (Art. 4)
¿Qué instituciones regulan el funcionamiento del Repositorio?,"CONCYTEC, SUNEDU, la Ley Universitaria, y otras normativas nacionales e internas.",Normativas,Reglamento del Repositorio Institucional de Investigación (Art. 5)
¿Quién administra el Repositorio Institucional de Investigación?,"Un responsable designado por el Vicerrectorado de Investigación, en coordinación con la Oficina de Biblioteca.",Gestión,Reglamento del Repositorio Institucional de Investigación (Art. 6)
¿Qué comunidades conforman el Repositorio?,"Fondo Editorial, Biblioteca y Resultados de Investigación.",Estructura,Reglamento del Repositorio Institucional de Investigación (Art. 9)
¿Qué colecciones incluye la comunidad de Biblioteca?,"Trabajos de bachillerato, tesis de licenciatura, maestría, doctorado y segunda especialidad.",Colecciones,Reglamento del Repositorio Institucional de Investigación (Art. 9)
¿Qué requisitos debe cumplir un documento para ser ingresado al Repositorio?,"Formato digital, filiación con UPAO o convenio, y cumplimiento de metadatos requeridos por CONCYTEC.",Requisitos,Reglamento del Repositorio Institucional de Investigación (Art. 12)
¿Qué función tiene la Oficina de Sistemas en el Repositorio?,Mantener el funcionamiento del software del repositorio y asegurar su compatibilidad con normas nacionales.,Tecnología,Reglamento del Repositorio Institucional de Investigación (Art. 8)
¿Qué es un metadato en el contexto del Repositorio?,Información estandarizada que describe un documento para facilitar su búsqueda y acceso.,Metadatos,"Reglamento del Repositorio Institucional de Investigación (Art. 7, Glosario)"
¿Qué sucede si se detecta plagio en un documento del Repositorio?,Se anula su registro siguiendo el procedimiento SUNEDU y se aplican sanciones conforme a ley.,Plagio,Reglamento del Repositorio Institucional de Investigación (Art. 20-21)
¿Qué derechos tiene un autor sobre su obra en el Repositorio?,Conserva sus derechos morales y patrimoniales conforme a la Ley de Derecho de Autor.,Propiedad intelectual,Reglamento del Repositorio Institucional de Investigación (Art. 15-16)
¿Dónde se puede consultar el Repositorio de la UPAO?,En el portal web http://repositorio.upao.edu.pe/,Acceso,Reglamento del Repositorio Institucional de Investigación (Art. 19)
¿Se puede retirar un documento del Repositorio?,"Sí, si se comprueba plagio u otras razones justificadas según el reglamento.",Retiro,Reglamento del Repositorio Institucional de Investigación (Art. 20)
¿Qué tipo de trabajos se publican obligatoriamente en el Repositorio?,Tesis y trabajos de investigación que conducen a grados y títulos.,Contenido obligatorio,Reglamento del Repositorio Institucional de Investigación (Art. 17)
¿Qué datos se deben registrar al subir un documento?,"Información completa de autoría, filiación, metadatos, y cumplimiento de normativas CONCYTEC.",Metadatos,Reglamento del Repositorio Institucional de Investigación (Art. 12)
¿Qué debe hacer un autor para publicar en el Repositorio?,Presentar el documento en formato digital con los metadatos requeridos y firmar las autorizaciones.,Procedimiento,Reglamento del Repositorio Institucional de Investigación (Art. 12)
¿Qué garantiza la interoperabilidad del Repositorio?,Metadatos actualizados y normalizados compatibles con sistemas nacionales e internacionales.,Interoperabilidad,Reglamento del Repositorio Institucional de Investigación (Art. 7)
¿Cuál es el rol del Vicerrectorado de Investigación?,"Designar al responsable del Repositorio, supervisar informes y autorizar cambios en colecciones.",Gestión,"Reglamento del Repositorio Institucional de Investigación (Art. 6, 10, 14)"
¿Qué es una comunidad en el Repositorio?,Unidad organizativa de la universidad con materiales susceptibles de ser incluidos en el Repositorio.,Estructura,Reglamento del Repositorio Institucional de Investigación (Glosario)
