Pregunta,Respuesta,Categoría,Fuente
¿Qué es el Seguro de Accidentes Personales (SAP) para menores de edad en la universidad?,Es un seguro ofrecido por la Universidad Privada Antenor Orrego (UPAO) que brinda cobertura ante accidentes personales a estudiantes menores de edad durante el semestre académico.,Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Quién debe firmar la carta de compromiso del seguro SAP para menores de edad?,"La carta debe ser firmada por el padre, madre o tutor legal del estudiante menor de edad.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Cuál es el costo del Seguro de Accidentes Personales en la UPAO?,"El costo del seguro es de S/ 21.50, el cual se paga junto con la segunda cuota de la pensión académica.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Es obligatorio afiliarse al seguro SAP ofrecido por la universidad?,"No, el padre, madre o tutor puede optar por no afiliar al estudiante si este cuenta con otro seguro vigente, debidamente acreditado.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD 
¿Qué se debe hacer si no se desea afiliar al estudiante al SAP de la universidad?,Se debe declarar que el estudiante ya cuenta con otro seguro y presentar una constancia que lo acredite.,Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Cuál es la vigencia del seguro SAP ofrecido por la universidad?,El seguro tiene vigencia desde el registro de matrícula hasta la culminación del semestre académico.,Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Dónde se presenta la carta de compromiso del seguro SAP?,"Se debe presentar en la Oficina de Bienestar Universitario, ubicada en el Edificio K, semisótano.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Qué ley regula la inscripción en seguros de salud en universidades?,La Ley Universitaria N.º 30220 en sus artículos 126 y 128 regula la inscripción de los estudiantes en un seguro.,Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Qué ocurre si se desea renovar el SAP en semestres siguientes?,Se debe informar la decisión de renovar el seguro antes del registro de matrícula del siguiente semestre académico.,Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Es posible cambiar de seguro en los siguientes semestres?,"Sí, se puede optar por no afiliarse al SAP si se cuenta con otro seguro, el cual debe acreditarse según los plazos establecidos por la universidad.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Qué debe hacer el estudiante cuando alcanza la mayoría de edad?,"Desde que cumple la mayoría de edad, el estudiante debe brindar la información del seguro por su cuenta y responsabilidad.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Se puede pagar el seguro SAP en una cuota distinta a la segunda cuota de pensión?,"No, el documento especifica que el pago se realiza conjuntamente con la segunda cuota de pensión.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Qué tipo de documento se debe adjuntar al firmar la carta de compromiso?,"Se debe adjuntar una copia del documento de identidad del padre, madre o tutor.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Qué pasa si no se informa sobre la renovación del seguro SAP?,"Podría afectar el proceso de matrícula, ya que la universidad requiere esta información antes de la inscripción.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Cuál es la responsabilidad del padre o tutor respecto al seguro del menor?,Informar sobre la afiliación o no al SAP y asumir el compromiso de pago en caso de optar por dicho seguro.,Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD 
¿Qué documentos del estudiante se solicitan en la carta de compromiso?,"Nombre completo, tipo y número de documento de identidad, fecha de nacimiento y código universitario (ID).",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Qué sucede si no se presenta la constancia de otro seguro?,El estudiante podría ser obligado a afiliarse al seguro SAP de la universidad para cumplir con la Ley Universitaria.,Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD 
¿La universidad brinda cobertura médica completa con este seguro?,"El documento no detalla la cobertura completa, por lo que se debe solicitar dicha información antes de la afiliación.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Qué significa aceptar la carta de compromiso del SAP?,"Aceptar el costo, cobertura y vigencia del seguro, y comprometerse al pago correspondiente.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD 
¿Qué indica la Ley Universitaria sobre el seguro de los estudiantes?,Indica que deben estar inscritos en el SIS o en otro seguro que la universidad provea al momento de su matrícula.,Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD 
¿Dónde se ubica la Oficina de Bienestar Universitario de la UPAO?,"En el Edificio K, semisótano.",Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
¿Qué sucede si un estudiante menor de edad no cuenta con ningún seguro?,Debe afiliarse al SAP de la universidad para cumplir con los requisitos legales y universitarios.,Seguro de Accidentes Personales - Menor de Edad,SAP MENOR EDAD
