Pregunta,Respuesta,Categoría,Fuente
¿Cuál es el objetivo del Reglamento Interno de Seguridad y Salud en el Trabajo (RISST) de la UPAO?,"Promover una cultura de prevención de riesgos laborales, salvaguardando la vida y salud de los trabajadores.",Objetivo,RISST UPAO (Art. 1)
¿A quiénes aplica el RISST de la UPAO?,"A todo el personal de la universidad, incluyendo contratistas, practicantes y visitantes que realicen actividades dentro de sus instalaciones.",Ámbito de aplicación,RISST UPAO (Art. 2)
¿Qué responsabilidades tiene la universidad según el RISST?,"Garantizar la seguridad y salud, integrar la prevención en todos los niveles, capacitar al personal y mantener registros actualizados del SGSST.",Responsabilidades,RISST UPAO (Art. 7)
¿Qué obligaciones tienen los trabajadores en el sistema de seguridad y salud?,"Cumplir las normas, usar equipos de protección, reportar incidentes y participar en capacitaciones.",Obligaciones del trabajador,RISST UPAO (Art. 8)
¿Cuál es la función del Comité de Seguridad y Salud en el Trabajo?,"Supervisar el cumplimiento del reglamento, realizar inspecciones, capacitar y evaluar riesgos.",Comité de SST,RISST UPAO (Art. 9)
¿Qué normas rigen los trabajos en altura?,"Contar con permiso PETAR, usar arnés, anclajes y casco con barbiquejo. No usar instalaciones eléctricas como anclaje.",Trabajos en altura,RISST UPAO (Art. 59-73)
¿Qué medidas de seguridad deben seguirse en oficinas?,"Evitar sobrecarga de tomacorrientes, mantener orden, postura adecuada y apagar equipos al finalizar labores.",Oficinas,RISST UPAO (Art. 22)
¿Qué normas se aplican para laboratorios con riesgo químico?,"Uso de guantes, equipos de protección, manejo de sustancias con manuales de seguridad, y hojas de datos visibles.",Laboratorios,RISST UPAO (Art. 30)
¿Qué establece el RISST sobre primeros auxilios?,"Debe haber kits accesibles, personal capacitado y protocolos establecidos para emergencias.",Emergencias,RISST UPAO (Capítulo de primeros auxilios)
¿Qué incluye el Programa Anual de Seguridad y Salud en el Trabajo?,"Capacitación, evaluaciones, monitoreo de agentes de riesgo, simulacros, exámenes médicos y auditorías.",Programas,RISST UPAO (Art. 17-19)
¿Cómo se gestiona la ventilación en instalaciones UPAO?,Mediante sistemas naturales o mecánicos que aseguren renovación de aire y eviten acumulación de aire viciado.,Ventilación,RISST UPAO (Art. 51-53)
¿Qué responsabilidades tienen las empresas contratistas?,"Garantizar condiciones seguras, capacitar a su personal y cumplir normativas del RISST.",Contratistas,RISST UPAO (Art. 11)
¿Qué condiciones deben cumplir los almacenes?,"Mantener orden, señalización, uso de EPP, escaleras seguras y prácticas ergonómicas al levantar cargas.",Almacenes,RISST UPAO (Art. 39)
¿Qué tipo de protección deben tener los docentes de áreas médicas?,Uso obligatorio de guantes ante contacto con fluidos y cumplimiento de protocolos institucionales.,Docentes,RISST UPAO (Art. 25.i)
¿Qué se prohíbe durante las labores según el RISST?,"Trabajar bajo efectos del alcohol, hacer bromas peligrosas, modificar equipos de seguridad sin autorización.",Prohibiciones,RISST UPAO (Art. 8)
¿Qué condiciones deben cumplirse en auditorios universitarios?,"Respetar aforo, señalización visible, rutas de evacuación despejadas y tener responsable designado.",Auditorios,RISST UPAO (Art. 33-34)
¿Qué tipo de señalización debe cumplirse?,"Señales de advertencia, obligación, prohibición, evacuación, entre otras, deben ser respetadas por todo el personal.",Señalización,RISST UPAO (Art. 40-42)
¿Qué cuidados debe tener el personal de cocina y comedor?,"Orden, limpieza, equipos seguros, extintores de clase K y mantenimiento de instalaciones de gas.",Cocina y comedor,RISST UPAO (Art. 35-38)
¿Cuál es el rol del jefe directo respecto al EPP?,"Solicitar los EPP, supervisar su uso correcto y predicar con el ejemplo utilizándolos.",EPP,RISST UPAO (Art. 58)
¿Qué hacer ante exposición prolongada a radiación solar?,"Capacitar, usar bloqueador FPS ≥30, y evaluar medidas de protección complementarias.",Radiación solar,RISST UPAO (Art. 55-56)
¿Qué sanciones se aplican por incumplimiento del RISST?,"Desde amonestación hasta despido, dependiendo de la gravedad de la falta.",Sanciones,RISST UPAO (Capítulo de Sanciones)
