Pregunta,Respuesta,Categoría,Fuente
¿Cuál es el monto asegurado por invalidez permanente total?,"El monto asegurado es de S/ 20,000 por invalidez permanente total, aplicable si el estudiante pierde de forma completa y definitiva la capacidad para trabajar a consecuencia de un accidente.",Coberturas,Plan de Beneficios - Seguro UPAO 2024–2025
¿Cuál es el monto por invalidez permanente parcial?,"Se cubre hasta S/ 20,000 dependiendo del grado de invalidez parcial, siempre que esta haya sido ocasionada por un accidente.",Coberturas,Plan de Beneficios - Seguro UPAO 2024–2025
¿Qué indemnización se ofrece por muerte accidental?,"En caso de muerte accidental del estudiante asegurado, la póliza otorga una indemnización de S/ 20,000.",Coberturas,Plan de Beneficios - Seguro UPAO 2024–2025
¿Se cubren los gastos de sepelio en caso de muerte accidental?,"Sí, se reembolsan hasta S/ 5,000 por gastos de sepelio en caso de muerte accidental.",Reembolsos,Plan de Beneficios - Seguro UPAO 2024–2025
¿Cuánto cubre el seguro por gastos de curación?,"Hasta S/ 12,000 por alumno por evento accidental, incluyendo hospitalización, atención ambulatoria y prótesis quirúrgicas internas.",Coberturas,Plan de Beneficios - Seguro UPAO 2024–2025
¿Qué es la segunda capa de cobertura por gastos médicos?,"Es una cobertura adicional que otorga hasta S/ 250,000 anuales, con un tope de S/ 10,000 por alumno, cubriendo curaciones accidentales.",Coberturas,Plan de Beneficios - Seguro UPAO 2024–2025
¿Se cubren los gastos por muerte natural?,"Sí, se reembolsa hasta S/ 5,000 por sepelio en caso de muerte natural, exclusivamente para alumnos asegurados.",Reembolsos,Plan de Beneficios - Seguro UPAO 2024–2025
¿Se cubren intoxicaciones accidentales?,"Sí, se cubren al 100% siempre que la intoxicación sea accidental.",Coberturas,Plan de Beneficios - Seguro UPAO 2024–2025
¿El seguro cubre daños por fenómenos naturales?,"Sí, cubre al 100% siempre que el accidente o fallecimiento esté vinculado directamente con fenómenos naturales como terremotos, huaycos, etc.",Coberturas Especiales,Plan de Beneficios - Seguro UPAO 2024–2025
¿El seguro cubre atención en el extranjero?,"Sí, se reconoce vía reembolso según la “Tarifa A” de clínicas afiliadas en el Perú.",Cobertura Internacional,Plan de Beneficios - Seguro UPAO 2024–2025
¿Qué exámenes están cubiertos por el seguro?,"Se incluyen tomografías, ecografías, resonancias magnéticas, y exámenes computarizados previa aprobación médica.",Diagnóstico,Plan de Beneficios - Seguro UPAO 2024–2025
¿Los deportes no profesionales están cubiertos?,"Sí, todos los deportes no profesionales declarados antes del inicio de la cobertura y aceptados por la aseguradora están cubiertos.",Deportes,Plan de Beneficios - Seguro UPAO 2024–2025
¿Qué medios de transporte están cubiertos en accidentes?,"Se cubre el uso como pasajero en medios públicos (terrestres, marítimos, aéreos, etc.) de empresas legalmente constituidas.",Cobertura de Transporte,Plan de Beneficios - Seguro UPAO 2024–2025
¿Se cubren traslados en helicóptero o FAP?,"Sí, si el vuelo es legal y gestionado por empresas constituidas y autorizadas.",Cobertura de Transporte,Plan de Beneficios - Seguro UPAO 2024–2025
¿Está cubierta la atención odontológica?,"Sí, en emergencias por accidente dentro de las primeras 48 horas, al 100%.",Emergencias Odontológicas,Plan de Beneficios - Seguro UPAO 2024–2025
¿Se incluye atención oftalmológica por accidente?,"Sí, se cubre atención oftalmológica en caso de accidente, dentro de las 48 horas, al 100%.",Emergencias Oftalmológicas,Plan de Beneficios - Seguro UPAO 2024–2025
¿El seguro cubre atención psicológica?,"Sí, incluye hasta 3 sesiones psicológicas en caso de secuestro del alumno, en centros autorizados.",Apoyo Psicológico,Plan de Beneficios - Seguro UPAO 2024–2025
¿Qué ocurre si ambos padres fallecen en un accidente?,"Se otorga una indemnización por desamparo súbito familiar de hasta S/ 15,000.",Casos Especiales,Plan de Beneficios - Seguro UPAO 2024–2025
¿El alumno sigue asegurado si sus padres fallecen?,"Sí, y se exonera el pago de la prima por el resto de los estudios si se renueva con La Positiva.",Casos Especiales,Plan de Beneficios - Seguro UPAO 2024–2025
¿Cuál es la prima total del seguro por semestre?,La prima por semestre para alumnos en clases presenciales es de S/ 21.50.,Costos,Plan de Beneficios - Seguro UPAO 2024–2025
¿Se incluye ambulancia en caso de emergencia?,"Sí, cubre transporte por evacuación en ambulancia, según costo promedio del mercado, llamando a Línea Positiva (211-0211).",Emergencias,Plan de Beneficios - Seguro UPAO 2024–2025
¿Se pueden solicitar segundas opiniones médicas?,"Sí, se cubren en caso de intervenciones quirúrgicas por accidente.",Asistencia Médica,Plan de Beneficios - Seguro UPAO 2024–2025
¿Qué pasa si el responsable económico fallece?,"Se otorga una indemnización si el padre, madre o tutor declarado fallece por accidente.",Casos Especiales,Plan de Beneficios - Seguro UPAO 2024–2025
¿Los accidentes por riñas están cubiertos?,"Sí, si se demuestra legítima defensa con parte policial.",Condiciones Especiales,Plan de Beneficios - Seguro UPAO 2024–2025
¿Cuánto tiempo tengo para reportar un siniestro?,El plazo de aviso es de 30 días para evitar rechazo por extemporaneidad.,Procedimiento,Plan de Beneficios - Seguro UPAO 2024–2025
¿Qué enfermedades no están cubiertas?,No se cubren enfermedades transmisibles ni pérdidas relacionadas directa o indirectamente con ellas.,Exclusiones,Plan de Beneficios - Seguro UPAO 2024–2025
¿Qué incluye la definición de enfermedad transmisible?,"Toda enfermedad causada por virus, bacterias u otros agentes que se transmitan directa o indirectamente.",Exclusiones,Plan de Beneficios - Seguro UPAO 2024–2025
¿Qué métodos de transmisión excluye el seguro?,"Aire, fluidos, superficies, objetos sólidos, líquidos o gases, entre organismos.",Exclusiones,Plan de Beneficios - Seguro UPAO 2024–2025
¿Se cubren daños por terrorismo o vandalismo?,"Sí, siempre que el alumno no participe activamente en estos actos.",Coberturas Especiales,Plan de Beneficios - Seguro UPAO 2024–2025
¿Aplica renovación automática del seguro?,"No, el seguro no se renueva automáticamente y debe gestionarse cada ciclo.",Procedimiento,Plan de Beneficios - Seguro UPAO 2024–2025
