Pregunta,Respuesta,Categoría,Fuente
¿Cuál es el objetivo principal del Reglamento Interno de Trabajo (RIT) de la UPAO?,"Regular las relaciones laborales entre la universidad y sus trabajadores, estableciendo derechos, obligaciones y el régimen disciplinario.",Generalidades,RIT UPAO (Art. 1)
¿Qué modalidades de trabajo contempla el RIT?,"Presencial, no presencial y semipresencial.",Modalidades de trabajo,RIT UPAO (Art. 7-11)
¿Cuál es el período de prueba para un nuevo trabajador en la UPAO?,"Tres meses, ampliable a seis o doce meses según el cargo.",Ingreso,RIT UPAO (Art. 31-34)
¿Qué documentos debe recibir un nuevo trabajador al ingresar?,"Fotocheck, RIT, reglamentos de seguridad y hostigamiento sexual, equipos, e inducción.",Ingreso,RIT UPAO (Art. 38)
¿Cuál es la jornada laboral máxima semanal?,"48 horas semanales, salvo excepciones normativas.",Jornada,RIT UPAO (Art. 42)
¿Qué implica el derecho a la desconexión digital?,"No estar obligado a responder comunicaciones laborales durante descansos, licencias o fuera de jornada.",Derechos laborales,RIT UPAO (Art. 59-62)
¿Cómo se registra la asistencia al trabajo?,Mediante medios físicos o digitales designados por la universidad.,Asistencia,RIT UPAO (Art. 63-65)
¿Qué se considera tardanza?,"Ingresar después de la hora establecida sin justificación, con posibilidad de descuento.",Asistencia,RIT UPAO (Art. 72-74)
¿Qué normas rigen las licencias con goce de haber?,Las establecidas por la ley y el reglamento interno.,Licencias,RIT UPAO (Art. 128-129)
¿Qué condiciones rigen la salida durante la jornada laboral?,Debe contar con papeleta firmada por el jefe inmediato y Recursos Humanos.,Asistencia,RIT UPAO (Art. 81-85)
¿Cuánto dura el refrigerio?,Mínimo 45 minutos para jornadas corridas.,Jornada,RIT UPAO (Art. 56-57)
¿Qué información debe mantenerse actualizada por el trabajador?,"Datos personales, domicilio, contacto, carga familiar, entre otros.",Documentación,RIT UPAO (Art. 30)
¿Qué conductas están prohibidas durante la jornada laboral?,"Abandono del puesto, ingreso sin autorización a otras oficinas, interferencia con otros trabajadores.",Obligaciones,RIT UPAO (Art. 78-79)
¿Quién regula y aplica sanciones por infracciones laborales?,La Dirección de Recursos Humanos y los jefes inmediatos.,Disciplina,RIT UPAO (Art. 20)
¿Cuántos días de vacaciones corresponden por año?,Treinta días calendario por cada año completo de servicios.,Vacaciones,RIT UPAO (Art. 89)
¿Cómo se tramita una licencia por enfermedad?,Presentando certificado médico ante la Dirección de Recursos Humanos.,Licencias,RIT UPAO (Art. 121-122)
¿Qué ocurre si un trabajador presenta documentos falsos?,Se anula el proceso de selección o se aplican sanciones disciplinarias.,Documentación,RIT UPAO (Art. 29)
¿Qué licencias especiales contempla el reglamento?,"Por maternidad, paternidad, adopción, enfermedad grave de familiar, bomberos, sindicales, entre otras.",Licencias,RIT UPAO (Art. 129)
¿Qué derechos se otorgan a trabajadoras lactantes?,"Una hora diaria, fraccionable en dos períodos, con goce de haber.",Lactancia,RIT UPAO (Art. 126)
¿Qué tipo de sanciones existen por incumplimiento?,"Amonestación verbal, escrita, suspensión o despido.",Disciplina,RIT UPAO (Cap. correspondiente)
