Pregunta,Respuesta,Categoría,Fuente
¿Qué es el Reglamento de Vigilancia y Seguridad Patrimonial de la UPAO?,"El Reglamento de Vigilancia y Seguridad Patrimonial de la Universidad Privada Antenor Orrego establece las normas para proteger a la comunidad universitaria, las instalaciones y los bienes patrimoniales, mediante medidas de seguridad electrónica y física. Regula el acceso, la vigilancia interna, el control de bienes y la respuesta ante incidentes para garantizar un ambiente seguro y ordenado.",Generalidades,Introducción
¿A quiénes aplica el Reglamento de Vigilancia y Seguridad Patrimonial?,"El reglamento aplica a todo el personal que labora en la UPAO, bajo cualquier modalidad de contratación, así como a estudiantes, visitantes, contratistas y público en general que ingresen al Campus Central, filiales o anexos de la universidad. Es obligatorio para todos los actores que interactúan en sus instalaciones.",Generalidades,Artículo 1
¿Cuál es el objetivo principal del Reglamento de Vigilancia y Seguridad Patrimonial?,"El objetivo principal es cautelar la seguridad de la comunidad universitaria y toda persona que se encuentre dentro de los establecimientos de la UPAO, además de proteger la integridad física de sus bienes e infraestructura mediante normas claras de seguridad y control de accesos.",Generalidades,Artículo 2
¿Quién supervisa el cumplimiento del Reglamento de Vigilancia en la UPAO?,"La Oficina de Servicios Generales y Mantenimiento supervisa el cumplimiento del reglamento a través de la Coordinación de Seguridad Patrimonial, que tiene la responsabilidad de difundir, aplicar y hacer respetar todas las disposiciones establecidas en el documento.",Organización,Artículo 4
¿Cómo se controla el ingreso y salida de estudiantes en la universidad?,"El ingreso y salida de estudiantes es controlado mediante un sistema de seguridad electrónica basado en reconocimiento facial y lectores de códigos QR. Los estudiantes deben estar registrados en el sistema, portar su carnet universitario o DNI y cumplir con normas de identificación facial para acceder a las instalaciones.",Control de Accesos,Artículo 19
¿Qué es el Reglamento de Vigilancia y Seguridad Patrimonial de la UPAO? (6),"El Reglamento de Vigilancia y Seguridad Patrimonial de la Universidad Privada Antenor Orrego establece las normas para proteger a la comunidad universitaria, las instalaciones y los bienes patrimoniales, mediante medidas de seguridad electrónica y física. Regula el acceso, la vigilancia interna, el control de bienes y la respuesta ante incidentes para garantizar un ambiente seguro y ordenado. Esta norma busca proteger la integridad física de los miembros de la comunidad universitaria.",Generalidades,Introducción
¿A quiénes aplica el Reglamento de Vigilancia y Seguridad Patrimonial? (7),"El reglamento aplica a todo el personal que labora en la UPAO, bajo cualquier modalidad de contratación, así como a estudiantes, visitantes, contratistas y público en general que ingresen al Campus Central, filiales o anexos de la universidad. Es obligatorio para todos los actores que interactúan en sus instalaciones. Esta norma busca proteger la integridad física de los miembros de la comunidad universitaria.",Generalidades,Artículo 1
¿Cuál es el objetivo principal del Reglamento de Vigilancia y Seguridad Patrimonial? (8),"El objetivo principal es cautelar la seguridad de la comunidad universitaria y toda persona que se encuentre dentro de los establecimientos de la UPAO, además de proteger la integridad física de sus bienes e infraestructura mediante normas claras de seguridad y control de accesos. Esta norma busca proteger la integridad física de los miembros de la comunidad universitaria.",Generalidades,Artículo 2
¿Quién supervisa el cumplimiento del Reglamento de Vigilancia en la UPAO? (9),"La Oficina de Servicios Generales y Mantenimiento supervisa el cumplimiento del reglamento a través de la Coordinación de Seguridad Patrimonial, que tiene la responsabilidad de difundir, aplicar y hacer respetar todas las disposiciones establecidas en el documento. Esta norma busca proteger la integridad física de los miembros de la comunidad universitaria.",Organización,Artículo 4
¿Cómo se controla el ingreso y salida de estudiantes en la universidad? (10),"El ingreso y salida de estudiantes es controlado mediante un sistema de seguridad electrónica basado en reconocimiento facial y lectores de códigos QR. Los estudiantes deben estar registrados en el sistema, portar su carnet universitario o DNI y cumplir con normas de identificación facial para acceder a las instalaciones. Esta norma busca proteger la integridad física de los miembros de la comunidad universitaria.",Control de Accesos,Artículo 19
¿Qué es el Reglamento de Vigilancia y Seguridad Patrimonial de la UPAO? (11),"El Reglamento de Vigilancia y Seguridad Patrimonial de la Universidad Privada Antenor Orrego establece las normas para proteger a la comunidad universitaria, las instalaciones y los bienes patrimoniales, mediante medidas de seguridad electrónica y física. Regula el acceso, la vigilancia interna, el control de bienes y la respuesta ante incidentes para garantizar un ambiente seguro y ordenado. Esta norma busca proteger la integridad física de los miembros de la comunidad universitaria.",Generalidades,Introducción
¿A quiénes aplica el Reglamento de Vigilancia y Seguridad Patrimonial? (12),"El reglamento aplica a todo el personal que labora en la UPAO, bajo cualquier modalidad de contratación, así como a estudiantes, visitantes, contratistas y público en general que ingresen al Campus Central, filiales o anexos de la universidad. Es obligatorio para todos los actores que interactúan en sus instalaciones. Esta norma busca proteger la integridad física de los miembros de la comunidad universitaria.",Generalidades,Artículo 1
¿Cuál es el objetivo principal del Reglamento de Vigilancia y Seguridad Patrimonial? (13),"El objetivo principal es cautelar la seguridad de la comunidad universitaria y toda persona que se encuentre dentro de los establecimientos de la UPAO, además de proteger la integridad física de sus bienes e infraestructura mediante normas claras de seguridad y control de accesos. Esta norma busca proteger la integridad física de los miembros de la comunidad universitaria.",Generalidades,Artículo 2
